,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
417,0.12498788833618164,0.009879177493117348,0.0,0.0,7,13,25,50,100,"{'max_depth': 7, 'max_features': 13, 'min_samples_leaf': 25, 'min_samples_split': 50, 'n_estimators': 100}",0.39227562824178164,0.35951941582949265,0.38212501272625843,0.498985332441336,0.2834122034021932,0.3832635185282124,0.06929375163412217,338
418,0.5844260692596436,0.01881768166890357,0.018845319747924805,0.0064432638090697785,7,13,25,50,500,"{'max_depth': 7, 'max_features': 13, 'min_samples_leaf': 25, 'min_samples_split': 50, 'n_estimators': 500}",0.38972239500199046,0.3586072780043663,0.380194561586335,0.49733158942804645,0.2829234508417794,0.3817558549725035,0.06888737839971243,402
419,1.209320306777954,0.0934495727977849,0.037494754791259764,0.007656801144607427,7,13,25,50,1000,"{'max_depth': 7, 'max_features': 13, 'min_samples_leaf': 25, 'min_samples_split': 50, 'n_estimators': 1000}",0.38966967383465156,0.36150576011872526,0.3812699975023538,0.49511282322874883,0.28357327554212364,0.3822263060453206,0.06776643042516242,374
420,0.10623793601989746,0.01168256412552127,0.006250524520874023,0.007655298254759214,7,13,50,5,100,"{'max_depth': 7, 'max_features': 13, 'min_samples_leaf': 50, 'min_samples_split': 5, 'n_estimators': 100}",0.37624069197848364,0.34343142052112563,0.3659658292082837,0.4844182244977542,0.27203515950255,0.36841826514163944,0.06846494114650337,502
421,0.5316676616668701,0.03970588639421925,0.015623903274536133,3.3771383685351894e-06,7,13,50,5,500,"{'max_depth': 7, 'max_features': 13, 'min_samples_leaf': 50, 'min_samples_split': 5, 'n_estimators': 500}",0.37886414752170805,0.3423376762070548,0.3660036730276658,0.4818708397816164,0.2692614742961944,0.36766756216684787,0.06855053890579554,603
422,0.9967857360839844,0.02290940362942226,0.03125300407409668,4.410679275454398e-06,7,13,50,5,1000,"{'max_depth': 7, 'max_features': 13, 'min_samples_leaf': 50, 'min_samples_split': 5, 'n_estimators': 1000}",0.3802968496452609,0.342668618709408,0.3676039870502571,0.48013670842447975,0.26937426923567787,0.36801608661301677,0.06796281787377804,527
423,0.10238027572631836,0.013367264223629561,0.0008701801300048829,0.0017403602600097655,7,13,50,10,100,"{'max_depth': 7, 'max_features': 13, 'min_samples_leaf': 50, 'min_samples_split': 10, 'n_estimators': 100}",0.37624069197848364,0.34343142052112563,0.3659658292082837,0.4844182244977542,0.27203515950255,0.36841826514163944,0.06846494114650337,502
424,0.5187629699707031,0.02687997532760762,0.015624141693115235,7.036539743689239e-06,7,13,50,10,500,"{'max_depth': 7, 'max_features': 13, 'min_samples_leaf': 50, 'min_samples_split': 10, 'n_estimators': 500}",0.37886414752170805,0.3423376762070548,0.3660036730276658,0.4818708397816164,0.2692614742961944,0.36766756216684787,0.06855053890579554,603
425,1.0162892818450928,0.04660628338551901,0.03697323799133301,0.007098070165862096,7,13,50,10,1000,"{'max_depth': 7, 'max_features': 13, 'min_samples_leaf': 50, 'min_samples_split': 10, 'n_estimators': 1000}",0.3802968496452609,0.342668618709408,0.3676039870502571,0.48013670842447975,0.26937426923567787,0.36801608661301677,0.06796281787377804,527
426,0.10551056861877442,0.010776920666242855,0.0008918285369873047,0.0017836570739746093,7,13,50,25,100,"{'max_depth': 7, 'max_features': 13, 'min_samples_leaf': 50, 'min_samples_split': 25, 'n_estimators': 100}",0.37624069197848364,0.34343142052112563,0.3659658292082837,0.4844182244977542,0.27203515950255,0.36841826514163944,0.06846494114650337,502
427,0.5282546997070312,0.031743519404205486,0.015617847442626953,6.543276173749707e-06,7,13,50,25,500,"{'max_depth': 7, 'max_features': 13, 'min_samples_leaf': 50, 'min_samples_split': 25, 'n_estimators': 500}",0.37886414752170805,0.3423376762070548,0.3660036730276658,0.4818708397816164,0.2692614742961944,0.36766756216684787,0.06855053890579554,603
428,1.0281254291534423,0.033385601222673755,0.031252574920654294,6.5751677278055915e-06,7,13,50,25,1000,"{'max_depth': 7, 'max_features': 13, 'min_samples_leaf': 50, 'min_samples_split': 25, 'n_estimators': 1000}",0.3802968496452609,0.342668618709408,0.3676039870502571,0.48013670842447975,0.26937426923567787,0.36801608661301677,0.06796281787377804,527
